Localidades rurales que rebasan su municipio*,,,,,
* El rebase podría ser milimétrico en algunas localidades,,,,,
Localidad rural,,,,,
"MARCO GEOESTADÍSTICO, JUNIO 2018   ",,,,,
Clave concatenada,Clave de entidad,Clave de municipio,Clave de localidad,Nombre  de  localidad,Tipo
120340007,12,34,7,Atetetla,Rural
120750002,12,75,2,Ahuelicán,Rural
120280168,12,28,168,El Pinoral,Rural
120440053,12,44,53,La Villita,Rural
120760048,12,76,48,El Capulín,Rural
120670009,12,67,9,Hacienda Nueva,Rural
120240014,12,24,14,Cuescomapa,Rural
120040014,12,4,14,Petlacalancingo,Rural
120030042,12,3,42,San Jerónimo el Grande,Rural
120660030,12,66,30,Xalatzala,Rural
120040003,12,4,3,Ahuejutla,Rural
120660028,12,66,28,Tototepec (Yozononi),Rural
120040014,12,4,14,Petlacalancingo,Rural
120620065,12,62,65,San José,Rural
120100108,12,10,108,Vicente Guerrero,Rural
120420006,12,42,6,La Esperanza,Rural
120120092,12,12,92,Plan de Gatica,Rural
120280208,12,28,208,Buena Vista de las Pilas,Rural
120770007,12,77,7,La Ceniza (Loma de Romero),Rural
130040014,13,4,14,Ejido de Loma Ancha,Rural
130240042,13,24,42,San Miguel Cacaloapan,Rural
130240034,13,24,34,Santo Domingo Agua Zarca,Rural
130160010,13,16,10,Chacalapa,Rural
130550014,13,55,14,Santa Mónica,Rural
130090004,13,9,4,Fray Francisco,Rural
130090003,13,9,3,Chimilpa,Rural
130010007,13,1,7,Buena Vista,Rural
130350005,13,35,5,Cañada de Flores,Rural
130520002,13,52,2,Benito Juárez,Rural
130580009,13,58,9,Danghu,Rural
130170015,13,17,15,San Juan el Sabino,Rural
130610029,13,61,29,20 de Noviembre [Colonia],Rural
130030015,13,3,15,La Loma,Rural
130250025,13,25,25,Ixtlahuac,Rural
130370044,13,37,44,Santa Mónica Autempa,Rural
130360030,13,36,30,Llano de las Palmas,Rural
130240035,13,24,35,Santo Tomás Allende,Rural
130760087,13,76,87,Cerrito del Tepeyac,Rural
130630025,13,63,25,Benito Juárez,Rural
130800030,13,80,30,Huexoapa,Rural
130430004,13,43,4,Bocua,Rural
130710038,13,71,38,El Palmar,Rural
130300031,13,30,31,Nequeteje,Rural
130300144,13,30,144,Puerto Bangandhó,Rural
130020005,13,2,5,La Mesa,Rural
130560007,13,56,7,Tilhuacán,Rural
130560008,13,56,8,Ventoquipa,Rural
130060033,13,6,33,San Pablo Oxtotipan,Rural
130440013,13,44,13,El Jagüey,Rural
130490027,13,49,27,El Limoncito,Rural
130060007,13,6,7,Cerro Azul,Rural
130410011,13,41,11,Tepeitic,Rural
130370069,13,37,69,San Antonio Tlaxco,Rural
130390003,13,39,3,Ciénega Larga,Rural
130510151,13,51,151,Hacienda Margarita,Rural
130410007,13,41,7,Morelos (El Nueve) [Colonia],Rural
130120006,13,12,6,La Cruz (Barrio de la Cruz),Rural
130010016,13,1,16,El Milagro San Simón,Rural
300550012,30,55,12,Chapopote Chico (Tlachinolapa),Rural
130110029,13,11,29,San Isidro,Rural
300830058,30,83,58,Poza Grande,Rural
130460031,13,46,31,La Laja,Rural
130260041,13,26,41,La Ceiba,Rural
130590020,13,59,20,Ninthí,Rural
130590019,13,59,19,La Mesilla,Rural
130440030,13,44,30,San Sebastián Tenochtitlán,Rural
130150022,13,15,22,San Clemente,Rural
130150004,13,15,4,El Bingú,Rural
130190004,13,19,4,El Dadhó,Rural
130190016,13,19,16,El Xothí,Rural
130280031,13,28,31,La Corrala,Rural
130420020,13,42,20,Tenango,Rural
130010032,13,1,32,Barrio el Yolo,Rural
130010019,13,1,19,San Antonio la Palma,Rural
130040014,13,4,14,Ejido de Loma Ancha,Rural
130810003,13,81,3,Atopixco,Rural
130810005,13,81,5,La Cumbre de Alumbres,Rural
130120015,13,12,15,Paso de Amajac,Rural
130450002,13,45,2,Agua Fría,Rural
130310011,13,31,11,Los Duraznos,Rural
130710006,13,71,6,Boca de León,Rural
130230005,13,23,5,Dengantzha,Rural
130650002,13,65,2,Juandhó,Rural
130190015,13,19,15,Tunititlán,Rural
